term	rank_other	rank_category
limited	692	730
all	327	289
good food	157	192
forget	648	692
chinese	809	420
really good	186	185
dance	725	522
one favorite	315	360
desserts	501	642
asian	782	342
dish	188	70
make sure	348	327
yummy	468	442
chain	747	634
good	3	4
environment	616	566
to	245	270
finally	552	661
chill	772	567
friendly	55	42
can go wrong	633	648
me	301	222
sitting	571	612
far	351	290
dessert	265	368
vegan	524	449
tacos	590	133
fan	331	329
cool	166	161
entire	675	808
school	666	670
salad	126	135
die	474	444
venue	757	652
friendly staff	530	641
worth it	275	276
leave	665	454
quick	224	165
guy	738	749
servers	380	562
pork	146	208
work	134	159
neighborhood	138	140
tea	691	349
bacon	110	367
steaks	690	766
past	689	669
burger	14	150
second	422	453
street	303	265
go	7	6
eating	337	300
casual	433	509
quite	213	202
drinks	33	38
even	57	52
sausage	505	537
cupcakes	813	466
chicago	18	15
sangria	791	665
find	145	129
waiting	347	476
indian	799	553
goes	700	765
new	141	158
ever	87	91
place great	449	422
filled	656	704
told	664	756
full	231	263
cozy	391	404
pancakes	203	812
never	83	67
thin crust	798	463
water	636	637
busy	229	218
let	408	410
free	302	142
groups	717	580
great atmosphere	500	559
along	551	532
strong	674	764
wait	27	39
dry	663	680
great	1	1
coffee shop	794	792
healthy	756	513
items	279	279
vegetarian	462	379
30	602	647
experience	58	77
french toast	247	813
amount	662	579
cinnamon	787	748
pick	699	450
usually	184	175
entrees	655	763
makes	196	167
options	120	139
fantastic	136	156
love	16	10
guacamole	763	633
family	313	269
extra	601	490
highly	233	200
river north	507	588
meats	724	724
duck	322	552
flavors	407	242
use	499	465
takes	723	651
would	32	32
always	28	16
wicker	716	729
visit	209	253
two	176	125
sports	333	529
live	308	234
call	728	592
crab	563	614
recommend	70	65
worth wait	498	776
type	608	626
tell	550	578
more	417	479
door	430	397
pretty	36	36
club	624	747
chocolate	156	198
downtown	425	519
glass	517	668
really great	737	686
warm	401	380
beers	107	254
excellent	62	62
known	688	775
chef	299	439
must	137	152
customer	755	791
great place	81	78
room	116	228
hour	177	244
this	589	691
local	250	243
getting	356	328
worth	48	51
soup	355	261
first time	472	452
thin	776	323
best	10	8
meet	585	655
beautiful	429	549
heart	722	629
crazy	600	711
really nice	681	746
tap	372	518
give	207	209
choice	424	355
restaurants	288	237
share	467	528
high	187	278
heard	623	667
foods	698	738
way	101	90
something	155	137
want	79	61
every	89	84
times	115	114
lamb	760	807
huge	135	124
end	390	348
winter	606	774
sit	252	215
rather	652	721
get	8	7
located	518	429
sunday	300	376
party	251	331
option	393	364
instead	667	696
establishment	733	679
goat	227	810
pizza	342	14
fare	582	784
sandwich	125	149
okay	420	399
tried	180	151
cocktail	336	521
may	343	337
overall	261	251
dish pizza	808	468
you ll	293	260
mac	354	558
birthday	370	505
taco	796	304
date	168	227
salsa	790	577
appetizer	512	459
authentic	779	233
tomato	615	802
short	541	762
remember	661	643
crowded	173	207
light	547	561
tapas	786	448
like	15	12
greek	793	650
dining	131	252
green	570	489
waitress	377	611
things	271	280
ingredients	373	343
re looking	622	703
egg	290	574
order	76	49
bartenders	481	500
typical	504	497
cute	660	551
mexican	580	163
cheese	49	75
top	106	170
soon	569	625
making	607	536
deep dish pizza	804	477
course	274	428
including	492	685
looks	579	543
cold	599	421
still	113	126
perfect	114	116
style	257	190
20	511	488
la	706	710
interesting	339	393
ll	105	108
appetizers	326	443
hot	67	112
actually	307	296
late	215	182
offers	598	660
choose	528	436
hidden	746	621
main	588	737
might	418	362
good place	406	357
wouldn	540	640
non	709	795
someone	659	604
food	2	2
cupcake	807	689
lunch	66	63
starbucks	806	736
they	222	189
hands	539	498
front	454	446
wicker park	721	782
now	686	684
day	92	93
bread	264	213
gets	321	275
name	461	525
potatoes	395	750
reasonably	629	438
didn	153	203
filling	720	590
good time	736	759
reasonable	353	335
found	527	389
went	73	82
side	144	127
square	673	570
upstairs	514	657
house	298	284
fish	365	246
hard	268	298
ambiance	311	374
variety	304	281
year	646	716
thing	211	188
salads	516	495
event	549	727
ice cream	538	340
out	163	120
place get	697	683
large	199	166
opened	715	781
space	194	180
open	179	187
since	223	197
looking	151	169
re	54	47
seriously	685	723
got	96	110
pretty good	218	272
red	460	319
shows	778	806
food great	172	199
spot	47	53
friday	450	517
pub	421	649
standard	464	539
everyone	214	221
decent	149	146
reason	384	516
put	383	464
wanted	497	512
care	679	789
steak	256	143
couldn	568	715
waiter	397	755
could	119	123
area	80	80
ask	360	334
days	658	603
keep	435	401
love it	712	790
chicken	59	48
fruit	740	796
yum	684	596
ve ever had	647	773
enough	169	157
margaritas	783	427
loud	282	322
think	111	106
south	561	745
first	100	95
enjoy	139	119
it good	672	666
feel	133	122
coming	263	250
veggie	364	599
fancy	587	659
one	9	13
done	416	383
fast	367	164
another	242	303
wasn	292	266
owner	645	569
miss	490	411
size	459	527
take	102	87
city	78	55
little	35	33
long	97	109
quality	162	130
spinach	762	805
ordering	628	460
bite	287	451
least	379	359
anyone	434	550
wonderful	244	238
too	124	92
stuffed	769	609
white	548	534
perfectly	363	571
really	11	11
store	789	548
homemade	572	653
that	123	107
can go	621	620
serve	427	336
took	350	377
part	389	395
thai	792	172
haven	560	478
wide	750	800
kind	297	235
15	643	656
great beer	400	632
specials	195	229
seated	359	595
wrong	294	294
friend	232	232
maybe	378	391
and	255	318
tasted	515	457
outstanding	484	639
can	91	81
modern	522	638
flavorful	567	542
locations	759	780
tastes	640	472
spicy	496	212
need	246	214
seen	639	631
seem	654	758
go wrong	423	441
nights	537	388
place	4	3
dishes	130	118
burgers	38	217
able	471	515
mix	630	535
recommended	574	487
sandwiches	254	174
interior	732	787
so	366	447
korean	805	694
play	745	557
sure	99	94
food amazing	536	726
though	74	74
park	191	249
eggs	212	709
would recommend	483	602
regular	446	547
mouth	749	702
plus	312	285
plenty	482	417
nothing	192	205
extremely	559	568
don	42	43
especially	150	183
seafood	361	402
sometimes	486	361
hungry	683	677
crowd	278	258
traditional	597	501
definitely	41	46
patio	140	136
clean	535	484
wine	104	132
wow	529	690
fact	558	701
shop	758	330
atmosphere	37	40
selection	46	54
overpriced	466	594
show	521	408
crust	764	148
cheap	396	179
bring	262	262
good service	398	486
fine	520	565
enjoyed	236	305
staff	39	35
toast	190	809
slow	414	403
menu	12	26
weekends	249	398
outside	174	186
here	60	50
going	90	79
black	557	646
rich	523	712
knowledgeable	526	771
