term	rank_other	rank_category
limited	798	756
all	325	302
good food	324	175
forget	797	703
chain	1083	712
really good	796	181
dance	1082	582
one favorite	795	339
atmosphere	133	39
month	1081	1064
much better	677	908
desserts	1080	591
it	3	5
asian	323	436
dish	426	85
milk	1058	1057
seemed	574	845
make sure	255	329
wine list	831	958
certainly	792	863
yummy	791	447
chinese	1078	566
you ve	572	945
food always	1019	955
peanut	1077	1040
seriously	571	755
thursday	1076	1058
good	5	4
environment	790	581
to	321	263
finally	254	650
fun place	1075	801
chill	351	700
worth	77	47
can go wrong	570	668
pay	538	506
garden	1073	1063
sitting	524	598
far	199	308
dessert	789	325
fat	1072	759
tacos	1071	180
me	200	240
fan	252	327
cook	788	1039
drinking	787	1016
little	34	32
food really	1069	898
margarita	786	1048
dim	986	1045
school	784	699
salad	198	134
level	783	816
die	782	451
list	781	168
friendly staff	416	613
worth it	568	275
leave	780	516
coming	185	254
steakhouse	1066	1047
quick	567	174
guy	566	814
enjoy	123	125
pork	778	179
smaller	1065	1083
neighborhood	142	140
tea	565	410
bacon	1064	248
steaks	1063	777
past	1062	708
burger	415	55
second	776	437
street	320	270
go	10	6
fast food	57	981
eating	111	316
casual	564	487
place good	1061	963
drinks	56	37
blue	775	840
what	989	973
cupcakes	1060	639
chicago	29	14
crust	1059	215
near	219	565
find	152	133
service good	429	596
waiting	414	421
indian	1057	732
goes	250	813
new	562	153
ever	47	89
place great	561	420
filled	1056	709
bloody mary	684	952
full	197	250
cozy	485	390
months	319	653
pancakes	1054	521
never	318	73
thin crust	905	621
you ll	158	266
water	412	667
busy	366	218
let	560	401
free	317	171
groups	772	638
others	898	927
alone	1053	1056
along	1052	540
strong	1051	764
change	411	871
wait	37	33
dry	471	704
plates	876	412
great	6	1
coffee shop	1050	1015
healthy	196	619
items	559	278
vegetarian	1049	389
30	1048	634
reason	380	464
experience	79	69
mac	55	499
tv	892	1008
amount	249	626
cinnamon	558	926
pick	314	528
usually	557	166
opinion	313	1021
entrees	1046	753
makes	160	170
options	410	135
fantastic	195	152
love	12	12
apple	1045	839
family	312	282
extra	248	532
amazing food	445	873
prefer	1044	833
bloody	770	688
brought	409	853
pasta	769	426
meats	1043	771
duck	1042	446
staple	1040	1002
ve	92	23
flavors	556	272
use	555	473
from	1039	911
takes	768	718
working	554	832
food pretty	767	944
donuts	823	627
hungry	282	722
visit	247	238
two	78	142
sports	819	438
live	408	247
ve tried	1038	1001
call	437	669
crab	1037	593
staff friendly	350	587
worth wait	552	684
chicken	1	57
care	379	804
type	1036	616
tell	551	578
more	405	455
can wait	766	925
door	404	405
pretty	30	38
started	765	806
bottle	939	736
getting	246	330
chocolate	1035	176
downtown	1034	476
glass	764	618
really great	1033	743
warm	1032	371
beers	549	192
best ve	1031	1030
excellent	159	61
known	548	790
glad	547	1014
must	110	150
customer	762	886
grill	761	879
bartender	760	723
room	402	178
hour	546	219
this	759	674
local	311	246
work	1030	151
best place	545	956
friendly	66	44
reviews	401	1082
soup	400	281
anywhere	433	842
thin	777	411
of	824	893
great atmosphere	771	543
dining experience	1027	1000
ribs	444	580
something	109	146
beautiful	310	520
heart	758	694
crazy	757	687
really nice	398	770
tap	1026	450
do	659	902
awesome	108	43
restaurants	375	244
share	755	510
days	376	637
high	753	245
heard	397	683
foods	752	763
way	245	94
salty	1025	878
veggies	751	1046
want	90	65
every	65	87
times	121	114
brunch	148	77
lamb	1024	891
huge	748	129
needs	395	1029
end	544	350
winter	308	742
sit	139	228
vibe	807	398
steak	122	167
comfort	536	1013
small plates	1022	910
love it	542	821
lounge	1021	870
located	806	448
need	172	224
toppings	609	483
establishment	394	752
goat	1017	537
stand	443	747
fare	1016	717
entree	749	828
okay	141	409
tried	244	157
cocktail	1015	435
may	307	338
stop	365	206
dive	747	1020
dish pizza	1014	642
them	241	403
spot	140	48
wrong	285	298
birthday	746	445
vegan	1013	465
taco	745	404
date	1012	201
salsa	527	758
choice	954	363
guys	743	943
everyone	306	217
man	742	942
tomato	1011	741
short	393	706
remember	1010	673
four	417	854
together	330	678
slightly	822	738
tapas	1009	569
counter	700	783
lines	392	805
think	135	108
like	13	13
greek	1007	862
cannot	922	1044
so	460	415
south	712	692
things	639	277
ingredients	537	346
re looking	1005	693
pulled	935	749
playing	1003	1072
bartenders	682	495
typical	934	494
