term	rank_other	rank_category
limited	420	765
all	1086	296
good food	1085	175
forget	546	700
chinese	1081	566
really good	316	183
dance	1084	580
hands	177	524
one favorite	743	334
atmosphere	103	39
month	419	1086
much better	638	913
desserts	1083	587
asian	1082	429
dish	558	85
chili	742	1003
seemed	741	837
make sure	231	325
great time	740	812
certainly	739	858
ice	1	547
yummy	315	448
chain	233	732
you ve	738	934
food always	1016	955
seriously	737	746
thursday	736	1062
good	12	4
environment	1079	578
to	314	261
finally	735	629
fun place	734	806
chill	850	684
worth	46	48
can go wrong	313	671
town	236	188
garden	1077	1061
sitting	497	596
far	312	304
dessert	67	336
fat	1076	757
tacos	1075	180
me	158	241
fan	417	322
best place	297	968
cook	1074	1036
drinking	1073	1002
little	38	32
food really	1072	899
margarita	1071	1044
dim	985	1051
school	310	707
hour	1026	218
level	1069	811
die	416	450
venue	1068	752
friendly staff	544	610
worth it	230	277
specials	970	211
come back	542	466
steakhouse	1067	1053
quick	308	173
guy	732	805
enjoy	99	127
pork	1066	179
smaller	1065	1085
neighborhood	187	143
thin	1064	407
favorites	448	531
tea	541	406
bacon	731	248
steaks	1063	777
chef	1030	375
burger	1062	55
second	1061	435
cost	934	1040
summer	42	199
go	11	6
fast food	1060	883
run	248	669
chicken	904	47
beer selection	795	250
drinks	729	35
blue	539	843
would recommend	1057	564
cupcakes	538	649
chicago	28	14
sangria	906	870
near	352	560
find	370	133
consistently	1056	1084
waiting	535	417
indian	1055	731
goes	415	798
new	306	151
ever	61	89
place great	414	421
filled	726	712
told	1054	744
full	229	251
cozy	468	385
great selection	464	783
months	305	655
pancakes	1052	519
never	157	74
thin crust	876	623
water	873	646
busy	93	221
let	135	410
free	156	171
groups	1051	635
great atmosphere	725	537
alone	534	1070
along	411	546
strong	724	771
change	410	867
wait	112	33
dry	355	703
great	6	1
coffee shop	1050	1015
healthy	304	613
items	723	275
vegetarian	1049	383
30	722	639
reason	286	463
great spot	517	832
french toast	1048	620
amount	720	612
cinnamon	532	924
pick	303	525
usually	155	169
opinion	719	990
entrees	1047	751
mix	131	583
options	134	136
fantastic	111	152
love	9	12
guacamole	816	733
fried chicken	1046	909
extra	718	522
prefer	717	836
bloody	1045	682
brought	1044	834
river north	573	567
meats	1042	770
duck	1041	445
staple	715	1013
flavors	7	324
use	531	474
from	530	923
takes	529	721
working	528	833
