term	rank_other	rank_category
limited	1065	735
all	335	298
good food	112	179
forget	594	707
chain	875	711
really good	122	190
dance	964	577
hands	368	523
one favorite	255	340
atmosphere	74	39
month	963	1051
four	874	835
desserts	1064	584
it	6	5
asian	57	509
served	310	295
dish	34	89
chili	435	1037
seemed	501	860
make sure	592	321
wine list	893	946
certainly	688	868
number	1027	1010
chinese	382	579
you ve	687	945
tv	811	1007
seriously	590	757
thursday	962	1044
good	3	4
environment	434	589
list	431	167
finally	778	629
fun place	961	793
deep dish	1063	251
worth	87	49
can go wrong	500	674
town	200	193
garden	871	1059
sitting	835	588
far	237	304
dessert	381	327
vegan	492	466
choice	548	362
me	176	241
fan	433	320
cook	960	1020
drinking	870	1004
little	29	32
authentic	105	324
food really	589	920
margarita	1061	1019
dim	941	1035
school	588	698
hour	274	222
level	499	834
die	432	451
venue	1060	740
friendly staff	587	609
worth it	430	274
leave	586	517
steakhouse	1059	1027
small	58	76
guy	685	811
enjoy	184	124
pork	138	185
work	232	152
neighborhood	197	140
thin	684	405
favorites	312	540
tea	253	413
bacon	1058	239
steaks	958	767
chef	670	377
burger	1057	52
second	334	443
cost	1022	1017
summer	142	197
go	12	6
fast food	776	893
eating	302	308
casual	380	490
beer selection	794	249
drinks	166	35
blue	869	833
sausage	923	522
cupcakes	1056	628
chicago	42	15
long wait	925	941
near	348	564
find	152	133
service good	438	598
waiting	497	420
indian	822	732
goes	867	783
new	183	154
ever	165	87
place great	682	419
filled	681	713
told	775	752
full	332	250
cozy	252	397
pancakes	1055	508
never	76	75
thin crust	1002	612
water	582	662
slow	276	404
them	418	396
free	235	170
groups	956	626
great atmosphere	955	529
yummy	304	456
along	331	551
strong	1054	751
change	679	859
wait	98	33
dry	581	706
great	5	1
coffee shop	1053	992
healthy	954	593
items	300	278
vegetarian	330	393
30	580	651
reason	379	464
experience	97	68
french toast	1052	605
amount	299	638
cinnamon	953	907
pick	275	532
usually	164	171
opinion	427	1026
entrees	496	774
makes	234	168
options	150	135
fantastic	233	149
love	25	11
apple	983	822
fried chicken	952	901
extra	251	536
prefer	866	832
bloody	1050	673
brought	865	831
river north	793	559
variety	211	290
really nice	425	779
meats	678	782
duck	579	445
staple	774	1013
flavors	378	270
use	578	469
from	773	919
takes	577	721
working	751	826
food pretty	772	944
donuts	973	617
give	231	206
visit	209	238
two	149	141
foods	568	773
sports	889	431
live	676	240
ve tried	298	1064
music	951	103
crab	92	705
typical	406	504
worth wait	864	672
chicken	15	51
greasy	426	852
type	576	623
tell	675	571
more	771	442
can wait	1048	906
door	674	395
pretty	39	38
club	967	699
chocolate	673	174
downtown	329	489
glass	672	619
really great	770	750
warm	495	372
beers	950	189
best ve	671	1043
excellent	75	62
known	862	780
glad	1047	972
must	121	150
customer	769	885
grill	949	858
bartender	861	716
room	328	176
salad	303	129
this	860	661
local	377	244
past	498	717
oh	281	432
best place	571	964
friendly	48	44
soup	47	303
first time	494	459
bloody mary	1015	924
always good	570	688
meet	740	641
dining experience	859	1003
beautiful	858	498
heart	669	691
crazy	376	704
delish	701	981
tap	857	441
plate	244	447
awesome	129	42
restaurants	85	258
share	493	516
high	424	246
heard	856	667
great spot	668	830
way	137	94
salty	768	884
something	111	148
want	54	66
every	56	88
times	116	114
lamb	1046	883
huge	128	128
needs	854	1002
end	766	341
winter	765	726
sit	373	225
vibe	764	394
comfort	850	989
small plates	763	918
lounge	853	867
located	385	453
sunday	680	335
option	229	367
food always	423	991
toppings	700	476
establishment	852	734
goat	1045	525
pizza	1033	21
fare	567	725
sandwich	535	139
okay	761	390
tried	53	165
cocktail	760	430
may	228	337
stop	289	204
dive	1044	990
dish pizza	1043	632
you ll	273	265
mac	1042	455
birthday	947	435
fat	236	820
next time	543	872
date	174	208
salsa	946	739
little bit	491	806
guys	984	915
man	566	963
tomato	664	756
short	663	696
remember	851	666
together	384	682
light	268	575
tapas	1041	561
counter	928	771
lines	1040	772
think	100	111
like	14	13
greek	1038	846
dining	196	202
ones	490	892
honestly	643	839
south	552	694
suggest	467	795
ingredients	296	347
re looking	662	695
pulled	1016	736
playing	1037	1050
bartenders	1014	480
wine	564	120
cute	421	596
serving	921	1057
mexican	849	205
help	848	917
really like	327	882
it great	661	412
soon	660	604
making	569	558
deep dish pizza	1036	643
ended	914	999
logan	944	1025
including	419	625
looks	563	554
cold	371	458
still	158	126
dont	562	866
perfect	173	115
style	561	200
rooftop	992	784
la	943	733
personal	847	1001
interesting	295	369
ll	148	109
appetizers	249	410
hot	104	93
actually	559	294
late	317	187
offers	846	650
choose	558	457
savory	489	1018
hidden	659	703
main	942	687
might	262	370
belly	621	692
good place	272	364
wouldn	369	622
non	988	800
someone	623	630
return	758	765
combination	757	873
entire	777	798
gets	322	287
well worth	658	829
cupcake	1035	925
lunch	36	65
starbucks	1034	979
they	225	195
plates	460	411
front	898	436
wicker park	657	827
now	557	720
day	157	91
bread	844	221
easily	656	818
several	416	463
name	556	506
potatoes	930	581
reasonably	206	513
didn	147	188
mexican food	990	679
filling	488	665
good time	872	812
stopped	842	1063
reasonable	156	345
rock	940	932
found	294	415
went	155	78
side	179	131
mean	655	865
heavy	841	804
el	755	1034
square	754	603
upstairs	727	608
wrong	193	297
due	389	969
house	653	279
fish	293	272
