term	rank_other	rank_category
limited	866	756
all	270	302
good food	54	175
forget	1031	706
chain	463	719
really good	91	184
dance	865	584
one favorite	774	340
atmosphere	20	39
month	1030	1070
four	1029	844
desserts	308	593
selection	19	50
it	5	5
asian	672	433
dish	469	85
milk	1090	1066
seemed	773	843
make sure	307	326
great time	520	815
certainly	864	865
number	568	1035
chinese	375	571
you ve	772	933
juicy	599	802
peanut	1027	1048
laid	653	1036
thursday	962	1067
good	3	4
environment	771	582
to	461	262
finally	863	632
fun place	460	807
chill	550	690
friendly	66	44
can go wrong	770	666
me	306	240
garden	1025	1069
sitting	598	598
far	195	305
dessert	305	329
fat	1024	765
choice	933	367
fan	204	325
cook	597	1039
drinking	1023	1015
little	23	32
authentic	181	315
food really	862	905
margarita	861	1047
groups	592	644
entire	769	801
school	410	700
hour	64	220
level	860	819
die	768	451
rather	370	726
venue	1022	762
friendly staff	670	610
worth it	221	277
leave	596	522
steakhouse	766	1059
quick	341	174
guy	595	806
servers	481	493
pork	959	182
smaller	669	1091
neighborhood	340	141
favorites	357	536
tea	409	409
bacon	134	249
steaks	958	782
chef	754	382
burger	25	56
second	374	438
cost	724	1043
go	8	6
fast food	1021	892
eating	303	308
casual	668	489
place good	459	974
drinks	44	37
blue	517	842
what	656	979
cupcakes	765	648
chicago	957	14
stars	431	601
sangria	1091	888
near	698	557
find	148	134
consistently	858	1090
waiting	458	421
indian	1019	736
goes	593	790
new	302	153
ever	58	89
place great	457	423
filled	1089	713
thin	518	413
full	220	250
cozy	912	389
pancakes	857	528
never	219	74
thin crust	803	628
hours	361	332
busy	232	219
let	337	403
free	166	172
mac cheese	802	514
meet	445	647
alone	955	1065
yummy	411	447
along	763	544
strong	762	773
change	591	857
wait	41	33
dry	484	702
great	2	1
coffee shop	856	1026
healthy	1018	603
items	267	279
vegetarian	266	391
30	515	643
reason	649	459
great spot	559	826
french toast	1087	625
amount	760	616
cinnamon	1086	923
pick	590	527
usually	138	169
opinion	854	990
entrees	954	761
makes	301	167
options	265	136
fantastic	194	151
love	17	12
apple	1085	850
fried chicken	1017	912
extra	1016	526
prefer	759	841
bloody	1084	688
brought	514	840
pasta	456	428
really nice	1012	760
meats	953	778
duck	853	449
staple	1015	1014
ve	43	23
flavors	336	274
use	667	477
from	758	922
takes	951	718
working	1083	831
food pretty	455	945
always	14	17
donuts	1042	634
give	299	208
visit	513	238
two	193	140
sports	472	441
live	217	247
ve tried	852	1013
call	348	668
crab	589	597
recommend	102	67
worth wait	512	683
chicken	83	47
care	500	797
type	588	624
tell	372	575
more	454	450
can wait	757	930
door	240	402
pretty	24	38
started	511	805
steak	132	166
line	65	188
chocolate	239	178
downtown	216	486
glass	586	623
really great	849	753
warm	756	373
