county,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alameda,1464839,1476401,1491781,1503827,1513493,1531511,1553219,1574688,1598779,1619244
Alpine,1255,1248,1208,1180,1147,1170,1166,1164,1164,1165
Amador,37964,38085,37864,37905,37907,37894,37746,37582,37448,37302
Butte,215684,217115,218485,219287,220024,220651,221788,222113,223589,224301
Calaveras,45316,45638,45702,45562,45258,45414,45305,45116,45010,44881
Colusa,20893,21119,21172,21270,21452,21626,21781,21972,22139,22312
Contra Costa,1010104,1021251,1033292,1043501,1052192,1063780,1075384,1089243,1102416,1116385
Del Norte,28276,28480,28571,28559,28577,28200,27978,27507,27177,27089
El Dorado,175258,177195,178599,179701,181183,180865,181041,182228,182358,182917
Fresno,886376,899826,913239,923895,933075,942047,950589,959455,969102,980980
Glenn,27731,28013,28120,28056,28188,28374,28508,28684,28828,29000
Humboldt,132226,132657,133201,133766,134575,135158,134629,134646,134419,134825
Imperial,162532,166894,170104,173241,175594,177401,179136,180047,182786,184760
Inyo,18421,18447,18383,18448,18627,18536,18569,18585,18640,18697
Kern,786220,805798,819891,831134,841744,849678,857599,867825,875843,884436
Kings,147496,150378,151834,151794,153020,151240,149822,150128,149338,149813
Lake,63792,63986,64370,64396,64466,64591,64665,64548,64915,65023
Lassen,35011,35749,35120,34773,34730,34540,33016,32299,31803,30988
Los Angeles,9787327,9773894,9796812,9805233,9827070,9902593,9991159,10056433,10123688,10192374
Madera,143528,146806,149114,150151,151160,151341,150628,152026,153951,154982
Marin,247247,248802,250288,251230,252767,254288,255546,258248,260514,261663
Mariposa,18244,18376,18385,18281,18119,18237,18223,18154,18128,18097
Mendocino,87584,87646,87782,87569,87939,87336,88027,88098,88535,88379
Merced,245555,249538,251932,254123,256386,259905,262755,264652,267571,270156
Modoc,9639,9590,9623,9632,9676,9686,9634,9603,9577,9566
Mono,14151,14212,14073,14075,14114,14285,14121,13903,13910,13762
Monterey,405877,407896,410877,413590,415825,418836,423208,425860,429144,435658
Napa,131920,133155,134786,135664,136681,137359,138739,139395,140720,141625
Nevada,98334,98480,98680,98432,98484,98431,98038,97632,98175,97946
Orange,2955433,2965823,2982788,2998816,3017089,3051472,3086260,3113370,3139615,3165203
Placer,322270,329719,337914,344088,350609,355640,360043,364372,368274,371558
Plumas,20710,20596,20368,20063,19993,19927,19883,19769,19720,19675
Riverside,2017350,2082656,2122920,2158399,2191800,2227542,2252818,2276342,2304902,2331040
Sacramento,1372275,1388086,1400939,1411403,1420447,1433766,1445019,1455343,1473279,1489308
San Benito,54895,55000,55043,55093,55350,55894,56333,56750,57168,57572
San Bernardino,1976767,2002651,2016526,2022319,2038771,2064165,2076836,2091054,2110042,2127735
San Diego,2982816,3014165,3051262,3077633,3104581,3137283,3174808,3209225,3247522,3275546
San Francisco,782928,791334,798673,801799,807177,819358,831607,842357,852070,862470
San Joaquin,660885,669737,675248,680421,686761,694060,700346,705640,717155,728509
San Luis Obispo,261803,264162,266850,268224,269753,269908,271982,272775,275233,276142
San Mateo,699398,704272,711374,716264,719582,728649,739544,747431,754639,762327
Santa Barbara,412853,416648,419970,422423,424291,425820,430712,435497,440200,445444
Santa Clara,1713839,1736327,1759534,1774890,1787553,1812314,1837992,1864255,1889280,1915407
Santa Cruz,255486,257601,259873,261912,263174,265378,267793,270602,271916,274594
Shasta,175238,175849,176629,176881,177480,177633,178084,178751,179167,178795
Sierra,3424,3344,3284,3243,3231,3216,3206,3187,3168,3166
Siskiyou,44891,44862,45041,44950,44951,44792,44765,44652,44635,44563
Solano,411351,412636,413167,412488,413220,414919,417647,420878,425618,429384
Sonoma,469967,472987,476650,480598,484258,487029,489886,494398,497645,500487
Stanislaus,503548,508372,510396,512052,515311,518676,523453,527673,531796,537957
Sutter,90628,92502,93465,94372,94800,95458,96047,96540,97104,97701
Tehama,61542,62011,62720,63122,63635,63621,63711,63731,63849,63975
Trinity,13823,13787,13730,13771,13883,13733,13704,13667,13614,13583
Tulare,416092,423608,431471,438408,443638,447746,452461,456246,460313,465013
Tuolumne,56558,56133,56060,55258,54961,55190,55033,54894,54688,54511
Ventura,801225,805911,812028,818546,825378,831810,836787,842796,847972,852964
Yolo,190809,194854,197589,199697,200995,203019,205377,208160,209863,212747
Yuba,69218,70221,71422,71796,72336,73015,73704,74352,74977,75621
