county,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,id,id_str,west_nile_cases_2006,west_nile_rate_2006,west_nile_cases_2007,west_nile_rate_2007,west_nile_cases_2008,west_nile_rate_2008,west_nile_cases_2009,west_nile_rate_2009,west_nile_cases_2010,west_nile_rate_2010,west_nile_cases_2011,west_nile_rate_2011,west_nile_cases_2012,west_nile_rate_2012,west_nile_cases_2013,west_nile_rate_2013,west_nile_cases_2014,west_nile_rate_2014,west_nile_cases_2015,west_nile_rate_2015
Alameda,1464839,1476401,1491781,1503827,1513493,1531511,1553219,1574688,1598779,1619244,6001.0,06001,1.0,0.06826688803342894,0.0,0.0,1.0,0.0670339681226668,0.0,0.0,1.0,0.06607232408739254,0.0,0.0,2.0,0.1287648425624461,0.0,0.0,1.0,0.0625477317377824,0.0,0.0
Alpine,1255,1248,1208,1180,1147,1170,1166,1164,1164,1165,6003.0,06003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,37964,38085,37864,37905,37907,37894,37746,37582,37448,37302,6005.0,06005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6389402016150316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butte,215684,217115,218485,219287,220024,220651,221788,222113,223589,224301,6007.0,06007,31.0,14.37287884126778,16.0,7.369366464776731,6.0,2.7461839485548207,2.0,0.9120467697583532,1.0,0.45449587317747153,3.0,1.3596131447398832,10.0,4.508810215160423,24.0,10.805310810263244,24.0,10.733980651999875,53.0,23.62896286686194
Calaveras,45316,45638,45702,45562,45258,45414,45305,45116,45010,44881,6009.0,06009,0.0,0.0,0.0,0.0,1.0,2.1880880486630785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colusa,20893,21119,21172,21270,21452,21626,21781,21972,22139,22312,6011.0,06011,3.0,14.358876178624419,2.0,9.47014536673138,1.0,4.7232193463064425,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.773472292364906,2.0,9.102494083378845,3.0,13.55074754957315,1.0,4.481893151667264
Contra Costa,1010104,1021251,1033292,1043501,1052192,1063780,1075384,1089243,1102416,1116385,6013.0,06013,8.0,0.7919976556869393,3.0,0.2937573622938925,4.0,0.38711225868389576,5.0,0.479156225053929,4.0,0.38015875429579393,3.0,0.28201319821767656,4.0,0.3719601556281291,5.0,0.45903439361097575,5.0,0.45354929536581473,1.0,0.08957483305490489
Del Norte,28276,28480,28571,28559,28577,28200,27978,27507,27177,27089,6015.0,06015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado,175258,177195,178599,179701,181183,180865,181041,182228,182358,182917,6017.0,06017,2.0,1.1411747252621849,0.0,0.0,1.0,0.5599135493479807,1.0,0.5564799305513046,0.0,0.0,1.0,0.5528985707571946,0.0,0.0,1.0,0.5487630879996488,0.0,0.0,0.0,0.0
Fresno,886376,899826,913239,923895,933075,942047,950589,959455,969102,980980,6019.0,06019,11.0,1.2410083305504662,17.0,1.8892541446901956,3.0,0.32850108241106657,13.0,1.4070863030972134,23.0,2.4649679822093615,9.0,0.9553663458404942,24.0,2.524750444198281,7.0,0.7295808557983439,43.0,4.437097436595941,7.0,0.7135721421435708
Glenn,27731,28013,28120,28056,28188,28374,28508,28684,28828,29000,6021.0,06021,12.0,43.272871515632325,7.0,24.98839824367258,1.0,3.5561877667140824,0.0,0.0,2.0,7.095217823187172,1.0,3.524353281172905,7.0,24.554511014452082,9.0,31.376377074327152,10.0,34.688497294297214,19.0,65.51724137931035
Humboldt,132226,132657,133201,133766,134575,135158,134629,134646,134419,134825,6023.0,06023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imperial,162532,166894,170104,173241,175594,177401,179136,180047,182786,184760,6025.0,06025,1.0,0.6152634558117785,3.0,1.7975481443311323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5582350839585566,0.0,0.0,1.0,0.5470878513671725,1.0,0.5412426932236415
Inyo,18421,18447,18383,18448,18627,18536,18569,18585,18640,18697,6027.0,06027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kern,786220,805798,819891,831134,841744,849678,857599,867825,875843,884436,6029.0,06029,49.0,6.232352267813081,140.0,17.374081345448857,2.0,0.2439348645124779,19.0,2.28603329908294,15.0,1.7820144842137278,18.0,2.1184495773693093,25.0,2.915115339453521,25.0,2.8807651312188516,11.0,1.255932855546028,11.0,1.2437304677783356
Kings,147496,150378,151834,151794,153020,151240,149822,150128,149338,149813,6031.0,06031,1.0,0.677984487714921,7.0,4.654936227373685,2.0,1.3172280253434672,3.0,1.9763627020830863,1.0,0.6535093451836361,1.0,0.6612007405448295,3.0,2.0023761530349344,1.0,0.6660982628157306,4.0,2.6784877258299966,0.0,0.0
Lake,63792,63986,64370,64396,64466,64591,64665,64548,64915,65023,6033.0,06033,2.0,3.135189365437672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5464316090620893,0.0,0.0,1.0,1.5404760070861896,2.0,3.075834704642973
