Week,Central Coast,Central Valley,Foothill and Mountain,Inland Empire,North Coast,South Coast
25,0.0,1.0,0.0,0.0,0.0,0.0
29,0.0,4.0,0.0,0.0,0.0,0.0
30,0.0,11.0,0.0,0.0,0.0,0.0
31,0.0,4.0,0.0,0.0,0.0,0.0
32,0.0,16.0,1.0,0.0,0.0,1.0
33,1.0,27.0,1.0,1.0,0.0,0.0
34,3.0,19.0,2.0,1.0,0.0,3.0
35,5.0,30.0,4.0,0.0,0.0,3.0
36,2.0,14.0,1.0,0.0,1.0,2.0
37,1.0,29.0,3.0,2.0,1.0,2.0
38,1.0,11.0,1.0,0.0,0.0,5.0
39,2.0,15.0,0.0,2.0,1.0,2.0
40,0.0,4.0,0.0,0.0,1.0,0.0
41,0.0,7.0,2.0,0.0,0.0,2.0
42,0.0,3.0,1.0,0.0,0.0,0.0
43,0.0,3.0,0.0,3.0,0.0,0.0
44,0.0,2.0,0.0,0.0,0.0,1.0
45,0.0,2.0,0.0,0.0,0.0,1.0
46,0.0,3.0,0.0,0.0,0.0,0.0
48,0.0,0.0,1.0,0.0,0.0,0.0
68,0.0,1.0,0.0,0.0,0.0,0.0
77,0.0,1.0,0.0,0.0,0.0,0.0
79,0.0,2.0,0.0,0.0,0.0,0.0
80,0.0,6.0,0.0,0.0,0.0,0.0
81,0.0,17.0,0.0,0.0,1.0,0.0
82,0.0,12.0,1.0,1.0,1.0,0.0
83,1.0,21.0,0.0,0.0,0.0,0.0
84,1.0,20.0,0.0,0.0,0.0,1.0
85,0.0,28.0,0.0,1.0,0.0,5.0
86,0.0,26.0,0.0,1.0,0.0,0.0
87,0.0,21.0,1.0,1.0,0.0,2.0
88,0.0,17.0,2.0,2.0,0.0,5.0
89,0.0,17.0,4.0,6.0,0.0,6.0
90,1.0,18.0,1.0,2.0,1.0,2.0
91,1.0,11.0,1.0,2.0,0.0,19.0
92,2.0,16.0,0.0,0.0,1.0,13.0
93,0.0,11.0,1.0,4.0,0.0,5.0
94,0.0,7.0,1.0,1.0,0.0,1.0
